,Order,Seasonal Order,MAPE,AIC,BIC
105,"(2, 1, 1)","(2, 0, 0, 12)",0.051434526420381925,749.92,760.0
106,"(2, 1, 1)","(2, 0, 1, 12)",0.05987883550264478,748.38,760.0
107,"(2, 1, 1)","(2, 0, 2, 12)",0.03582052960692801,751.94,765.0
108,"(2, 1, 2)","(0, 0, 0, 12)",0.07135817896128259,1199.44,1210.0
109,"(2, 1, 2)","(0, 0, 1, 12)",0.07183455333922735,969.03,981.0
110,"(2, 1, 2)","(0, 0, 2, 12)",0.09217128169034143,749.78,761.0
111,"(2, 1, 2)","(1, 0, 0, 12)",0.06835867110930191,985.66,997.0
112,"(2, 1, 2)","(1, 0, 1, 12)",0.0677334959733618,966.83,980.0
113,"(2, 1, 2)","(1, 0, 2, 12)",0.048625184939057674,728.02,741.0
114,"(2, 1, 2)","(2, 0, 0, 12)",0.056580610815825265,751.6,763.0
115,"(2, 1, 2)","(2, 0, 1, 12)",0.04793253064244523,760.46,774.0
116,"(2, 1, 2)","(2, 0, 2, 12)",0.04176125223832038,737.56,753.0
117,"(2, 1, 3)","(0, 0, 0, 12)",0.07863014800107423,1188.79,1202.0
118,"(2, 1, 3)","(0, 0, 1, 12)",0.0674281310595275,953.31,967.0
119,"(2, 1, 3)","(0, 0, 2, 12)",0.07269580197120903,723.32,736.0
120,"(2, 1, 3)","(1, 0, 0, 12)",0.06826717787522595,985.47,999.0
121,"(2, 1, 3)","(1, 0, 1, 12)",0.06518912063202655,937.99,953.0
122,"(2, 1, 3)","(1, 0, 2, 12)",0.04908347580687744,716.55,731.0
123,"(2, 1, 3)","(2, 0, 0, 12)",0.048002451417707835,751.51,765.0
124,"(2, 1, 3)","(2, 0, 1, 12)",0.04474585599064247,749.54,765.0
125,"(2, 1, 3)","(2, 0, 2, 12)",0.0580796605288507,717.78,734.0
126,"(2, 1, 4)","(0, 0, 0, 12)",0.07822264784395351,1168.28,1183.0
127,"(2, 1, 4)","(0, 0, 1, 12)",0.08624101637329659,936.21,951.0
128,"(2, 1, 4)","(0, 0, 2, 12)",0.08065526064785096,704.22,719.0
129,"(2, 1, 4)","(1, 0, 0, 12)",0.07161301189444276,987.56,1003.0
130,"(2, 1, 4)","(1, 0, 1, 12)",0.07314546242342604,912.0,929.0
131,"(2, 1, 4)","(1, 0, 2, 12)",0.06038246771856369,697.87,714.0
132,"(2, 1, 4)","(2, 0, 0, 12)",0.0618747162716111,752.26,767.0
133,"(2, 1, 4)","(2, 0, 1, 12)",0.05098754218152612,748.15,765.0
134,"(2, 1, 4)","(2, 0, 2, 12)",0.056770674285358744,696.42,714.0
135,"(3, 1, 0)","(0, 0, 0, 12)",0.08106991063952702,1211.65,1220.0
136,"(3, 1, 0)","(0, 0, 1, 12)",0.07582635313198091,1014.28,1024.0
137,"(3, 1, 0)","(0, 0, 2, 12)",0.08071226953168763,786.72,797.0
138,"(3, 1, 0)","(1, 0, 0, 12)",0.06327583668871442,966.17,976.0
139,"(3, 1, 0)","(1, 0, 1, 12)",0.05458709651311618,964.42,976.0
140,"(3, 1, 0)","(1, 0, 2, 12)",0.044609487417113944,770.8,783.0
141,"(3, 1, 0)","(2, 0, 0, 12)",0.048201902010818844,733.09,743.0
142,"(3, 1, 0)","(2, 0, 1, 12)",0.0479573528531471,734.47,746.0
143,"(3, 1, 0)","(2, 0, 2, 12)",0.047000879843264495,736.52,750.0
144,"(3, 1, 1)","(0, 0, 0, 12)",0.07079663633276308,1199.33,1210.0
145,"(3, 1, 1)","(0, 0, 1, 12)",0.07112751289865253,990.23,1002.0
146,"(3, 1, 1)","(0, 0, 2, 12)",0.07157210709246532,761.43,773.0
147,"(3, 1, 1)","(1, 0, 0, 12)",0.06640286882228098,965.41,977.0
148,"(3, 1, 1)","(1, 0, 1, 12)",0.050855794168592365,958.34,972.0
149,"(3, 1, 1)","(1, 0, 2, 12)",0.06120896956059719,759.51,773.0
150,"(3, 1, 1)","(2, 0, 0, 12)",0.05339409131854754,735.72,747.0
151,"(3, 1, 1)","(2, 0, 1, 12)",0.058112896918985135,732.7,746.0
152,"(3, 1, 1)","(2, 0, 2, 12)",0.0480821596834935,741.55,757.0
153,"(3, 1, 2)","(0, 0, 0, 12)",0.0682989213692159,1197.91,1211.0
154,"(3, 1, 2)","(0, 0, 1, 12)",0.0623994752471028,967.16,981.0
155,"(3, 1, 2)","(0, 0, 2, 12)",0.07192220452115758,743.53,757.0
156,"(3, 1, 2)","(1, 0, 0, 12)",0.06185955096977364,965.44,979.0
157,"(3, 1, 2)","(1, 0, 1, 12)",0.045002279779527685,962.54,978.0
158,"(3, 1, 2)","(1, 0, 2, 12)",0.05138413838139589,740.24,755.0
159,"(3, 1, 2)","(2, 0, 0, 12)",0.05720530184020949,742.29,756.0
160,"(3, 1, 2)","(2, 0, 1, 12)",0.04755621363526054,740.42,755.0
161,"(3, 1, 2)","(2, 0, 2, 12)",0.04961051263105384,742.3,759.0
162,"(3, 1, 3)","(0, 0, 0, 12)",0.07266030589274723,1178.97,1194.0
163,"(3, 1, 3)","(0, 0, 1, 12)",0.06555521474610738,950.62,966.0
164,"(3, 1, 3)","(0, 0, 2, 12)",0.07219962203851175,724.02,739.0
165,"(3, 1, 3)","(1, 0, 0, 12)",0.060975847665707524,963.08,979.0
166,"(3, 1, 3)","(1, 0, 1, 12)",0.05905703886600091,933.48,951.0
167,"(3, 1, 3)","(1, 0, 2, 12)",0.044504319322809495,716.38,733.0
168,"(3, 1, 3)","(2, 0, 0, 12)",0.05613013741994285,735.94,751.0
169,"(3, 1, 3)","(2, 0, 1, 12)",0.05095346582352716,732.97,750.0
170,"(3, 1, 3)","(2, 0, 2, 12)",0.04998489263328275,717.58,736.0
171,"(3, 1, 4)","(0, 0, 0, 12)",0.07450016589872288,1163.24,1180.0
172,"(3, 1, 4)","(0, 0, 1, 12)",0.08144725848857608,933.09,950.0
173,"(3, 1, 4)","(0, 0, 2, 12)",0.08198026511419752,706.23,722.0
174,"(3, 1, 4)","(1, 0, 0, 12)",0.06423992666952125,965.82,983.0
175,"(3, 1, 4)","(1, 0, 1, 12)",0.05257048104344393,925.63,945.0
176,"(3, 1, 4)","(1, 0, 2, 12)",0.053943902512648134,697.93,716.0
177,"(3, 1, 4)","(2, 0, 0, 12)",0.051062347145723594,735.34,752.0
178,"(3, 1, 4)","(2, 0, 1, 12)",0.033978272386473336,732.31,751.0
